genres,id,year,user_id,playtime_forever
RPG,301520,2017.0,cazzabro,26.0
RPG,301520,2017.0,doomkiller20911,18.0
RPG,301520,2017.0,potisrest0,3550.0
RPG,301520,2017.0,HoneyBeeGames,1274.0
RPG,301520,2017.0,kinghamc,0.0
RPG,301520,2017.0,76561198081765640,6324.0
RPG,301520,2017.0,LeuieCSGO,23.0
RPG,301520,2017.0,76561198060606113,0.0
RPG,301520,2017.0,Pregao07,20.0
RPG,301520,2017.0,popcornman812,5.0
RPG,301520,2017.0,phaxtioll,0.0
RPG,301520,2017.0,thepandabearnz1234,139.0
RPG,301520,2017.0,76561198169374360,1013.0
Free to Play,212800,2010.0,thedongsmasher,19.0
Free to Play,212800,2010.0,Flash52,16.0
Free to Play,212800,2010.0,76561198043720457,0.0
Action,291480,2014.0,76561198006986296,0.0
Action,291480,2014.0,76561198091250895,83.0
Action,291480,2014.0,frghergtdegftr,5.0
Action,291010,2016.0,killjoy149,2.0
Indie,269250,2014.0,76561198048229547,0.0
Indie,234190,2013.0,Daaannns,1.0
Adventure,311340,2014.0,LionBrito,441.0
Adventure,311340,2014.0,The-Moose,58.0
Adventure,249130,2013.0,76561198041228896,423.0
Casual,266150,2013.0,76561198076310095,12.0
Casual,304050,2015.0,76561198092268302,1039.0
Casual,304050,2015.0,76561198047779266,41.0
Casual,304050,2015.0,kyswithbleach,226.0
Casual,304050,2015.0,BlippX1,34.0
Indie,253510,2014.0,hexlaw,0.0
Casual,385770,2015.0,76561198054421576,18.0
RPG,340810,2015.0,Orifromtheforest,2.0
RPG,65600,2011.0,76561198044594262,649.0
Adventure,283880,2014.0,somaliakingman,0.0
RPG,371200,2016.0,HittingGuide45,0.0
Massively Multiplayer,212160,2012.0,76561198041505206,71.0
Massively Multiplayer,212160,2012.0,wyldcam,3.0
Massively Multiplayer,212160,2012.0,76561198018891332,103.0
Massively Multiplayer,247730,2014.0,Waldkier,623.0
Massively Multiplayer,247730,2014.0,76561198007521657,65.0
Massively Multiplayer,247730,2014.0,PUGSAREPRO,619.0
Strategy,449140,2016.0,se7en-pounds,152.0
Strategy,449140,2016.0,76561198072815531,6.0
Free to Play,356670,2015.0,The_Goosey,0.0
Action,258970,2014.0,Clarkos,273.0
Action,203290,2015.0,76561198088583840,19.0
Action,203290,2015.0,IGotItFormMyDADDY,0.0
Action,220900,2013.0,SickCuntt,0.0
RPG,328100,2014.0,Steamified,0.0
RPG,342980,2015.0,CocklesnCream,4.0
Indie,351490,2015.0,probablydead,123.0
Indie,224540,2012.0,76561198041808338,360.0
Indie,224540,2012.0,76561198060140186,250.0
Indie,224540,2012.0,rollergator,0.0
Indie,224540,2012.0,BatRambo,62.0
Indie,224540,2012.0,76561198080282900,4702.0
Indie,224540,2012.0,_gary_the_snail,184.0
Action,200710,2012.0,TheGameRogue,58.0
Action,200710,2012.0,76561198043584636,0.0
Casual,206690,2012.0,Lockouttaheaven,0.0
Strategy,113020,2013.0,76561198035137062,16.0
Strategy,113020,2013.0,76561198085888138,233.0
Strategy,113020,2013.0,76561198081815506,126.0
RPG,438040,2016.0,76561197987875464,65.0
Free to Play,368950,2015.0,Hollowfun,53.0
Casual,321840,2013.0,DuckPencil,0.0
Action,21090,2005.0,AzAziLTv,0.0
Action,21090,2005.0,interfex,250.0
Indie,95700,2011.0,thecommunistbear,0.0
Action,223810,2013.0,CaptainTitus,59.0
RPG,293500,2014.0,quantumquack,9.0
Casual,207670,2012.0,76561197983589335,4.0
Adventure,8290,2008.0,chickenislife,76.0
Action,220,2004.0,rozza1989,0.0
Action,220,2004.0,smellyshorts,732.0
Action,220,2004.0,thefarkingchamp,725.0
Action,220,2004.0,reprimere,0.0
Action,220,2004.0,gutty0,1700.0
Action,220,2004.0,76561198086878953,1516.0
Action,220,2004.0,76561197997196345,0.0
Action,220,2004.0,robotverve,1107.0
Action,317440,2014.0,76561198045884541,9.0
Strategy,299260,2014.0,Juluck,0.0
Casual,237310,2014.0,breastdragonemperor,246.0
Action,317400,2015.0,giantflyingoctopi,2543.0
Indie,298240,2015.0,76561198072499264,26.0
Indie,298240,2015.0,NotSeattleSound,30.0
Strategy,236730,2013.0,reprimere,0.0
Strategy,236730,2013.0,strongeee,0.0
Adventure,225300,2012.0,76561198039577397,11.0
RPG,200710,2012.0,TheGameRogue,58.0
RPG,200710,2012.0,76561198043584636,0.0
Indie,322330,2016.0,Bulbadoor,691.0
Indie,322330,2016.0,okaygetrektscrub,241.0
Indie,322330,2016.0,76561198079765498,0.0
Indie,322330,2016.0,76561198007036654,281.0
Adventure,252490,2013.0,76561198049910471,13.0
Adventure,252490,2013.0,76561197968376795,134.0
Adventure,252490,2013.0,RipSkinerinos,23783.0
Adventure,252490,2013.0,76561198127261950,429.0
Adventure,252490,2013.0,76561198071421016,19379.0
Adventure,252490,2013.0,76561198064894732,883.0
Adventure,252490,2013.0,76561198065918572,4030.0
Free to Play,340810,2015.0,Orifromtheforest,2.0
Adventure,38490,1996.0,mrgoatgrinder,0.0
Free to Play,349700,2015.0,76561198090760162,0.0
Indie,274980,2014.0,76561198033520961,53.0
Casual,281820,2011.0,EdfromNZ,0.0
Action,314450,2016.0,SnuffyKiins,191.0
Action,314560,2015.0,Eudanil,0.0
Indie,247000,2014.0,codedj,541.0
Simulation,301750,2014.0,EucHellscythe,122.0
Simulation,301750,2014.0,76561198018834500,0.0
Strategy,15750,2010.0,76561198055348490,1577.0
RPG,7670,2007.0,76561198108005377,67.0
RPG,7670,2007.0,haato,334.0
RPG,7670,2007.0,ARTHERDUNGER10,248.0
RPG,7670,2007.0,OrbitalEgg,0.0
RPG,7670,2007.0,76561198015636079,19.0
RPG,7670,2007.0,76561198053522268,0.0
RPG,7670,2007.0,MGrillz,24.0
Indie,96100,2016.0,pearce,39.0
Indie,311860,2014.0,ShadowKnight332,0.0
Massively Multiplayer,349700,2015.0,76561198090760162,0.0
Sports,244930,2013.0,EPICTIME,196.0
